Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2338495 --> [88.13690213485107%]
Healthy residents: 314758 --> [11.863097865148932%]
Vaccinated residents314758 --> [11.863097865148932%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
2650 2653253 2338495 314758 314758
2660 2653253 2338495 314758 314758
2670 2653253 2338495 314758 314758
2680 2653253 2338495 314758 314758
2690 2653253 2338495 314758 314758
2700 2653253 2338495 314758 314758
2710 2653253 2338495 314758 314758
2720 2653253 2338495 314758 314758
2730 2653253 2338495 314758 314758
2740 2653253 2338495 314758 314758
2750 2653253 2338495 314758 314758
2760 2653253 2338495 314758 314758
2770 2653253 2338495 314758 314758
2780 2653253 2338495 314758 314758
2790 2653253 2338495 314758 314758
2800 2653253 2338495 314758 314758
2810 2653253 2338495 314758 314758
2820 2653253 2338495 314758 314758
2830 2653253 2338495 314758 314758
2840 2653253 2338495 314758 314758
2850 2653253 2338495 314758 314758
2860 2653253 2338495 314758 314758
2870 2653253 2338495 314758 314758
2880 2653253 2338495 314758 314758
2890 2653253 2338495 314758 314758
2900 2653253 2338495 314758 314758
2910 2653253 2338495 314758 314758
2920 2653253 2338495 314758 314758
2930 2653253 2338495 314758 314758
2940 2653253 2338495 314758 314758
2950 2653253 2338495 314758 314758
2960 2653253 2338495 314758 314758
2970 2653253 2338495 314758 314758
2980 2653253 2338495 314758 314758
2990 2653253 2338495 314758 314758
3000 2653253 2338495 314758 314758
3010 2653253 2338495 314758 314758
3020 2653253 2338495 314758 314758
3030 2653253 2338495 314758 314758
3040 2653253 2338495 314758 314758
3050 2653253 2338495 314758 314758
3060 2653253 2338495 314758 314758
3070 2653253 2338495 314758 314758
3080 2653253 2338495 314758 314758
3090 2653253 2338495 314758 314758
3100 2653253 2338495 314758 314758
3110 2653253 2338495 314758 314758
3120 2653253 2338495 314758 314758
3130 2653253 2338495 314758 314758
3140 2653253 2338495 314758 314758
3150 2653253 2338495 314758 314758
3160 2653253 2338495 314758 314758
3170 2653253 2338495 314758 314758
3180 2653253 2338495 314758 314758
3190 2653253 2338495 314758 314758
3200 2653253 2338495 314758 314758
3210 2653253 2338495 314758 314758
3220 2653253 2338495 314758 314758
3230 2653253 2338495 314758 314758
3240 2653253 2338495 314758 314758
3250 2653253 2338495 314758 314758
3260 2653253 2338495 314758 314758
3270 2653253 2338495 314758 314758
3280 2653253 2338495 314758 314758
3290 2653253 2338495 314758 314758
3300 2653253 2338495 314758 314758
3310 2653253 2338495 314758 314758
3320 2653253 2338495 314758 314758
3330 2653253 2338495 314758 314758
3340 2653253 2338495 314758 314758
3350 2653253 2338495 314758 314758
3360 2653253 2338495 314758 314758
3370 2653253 2338495 314758 314758
3380 2653253 2338495 314758 314758
3390 2653253 2338495 314758 314758
3400 2653253 2338495 314758 314758
3410 2653253 2338495 314758 314758
3420 2653253 2338495 314758 314758
3430 2653253 2338495 314758 314758
3440 2653253 2338495 314758 314758
3450 2653253 2338495 314758 314758
3460 2653253 2338495 314758 314758
3470 2653253 2338495 314758 314758
3480 2653253 2338495 314758 314758
3490 2653253 2338495 314758 314758
3500 2653253 2338495 314758 314758
3510 2653253 2338495 314758 314758
3520 2653253 2338495 314758 314758
3530 2653253 2338495 314758 314758
3540 2653253 2338495 314758 314758
3550 2653253 2338495 314758 314758
3560 2653253 2338495 314758 314758
3570 2653253 2338495 314758 314758
3580 2653253 2338495 314758 314758
3590 2653253 2338495 314758 314758
3600 2653253 2338495 314758 314758
3610 2653253 2338495 314758 314758
3620 2653253 2338495 314758 314758
3630 2653253 2338495 314758 314758
3640 2653253 2338495 314758 314758
3650 2653253 2338495 314758 314758
3660 2653253 2338495 314758 314758
3670 2653253 2338495 314758 314758
3680 2653253 2338495 314758 314758
3690 2653253 2338495 314758 314758
3700 2653253 2338495 314758 314758
3710 2653253 2338495 314758 314758
3720 2653253 2338495 314758 314758
3730 2653253 2338495 314758 314758
3740 2653253 2338495 314758 314758
3750 2653253 2338495 314758 314758
3760 2653253 2338495 314758 314758
3770 2653253 2338495 314758 314758
3780 2653253 2338495 314758 314758
3790 2653253 2338495 314758 314758
3800 2653253 2338495 314758 314758
3810 2653253 2338495 314758 314758
3820 2653253 2338495 314758 314758
3830 2653253 2338495 314758 314758
3840 2653253 2338495 314758 314758
3850 2653253 2338495 314758 314758
3860 2653253 2338495 314758 314758
3870 2653253 2338495 314758 314758
3880 2653253 2338495 314758 314758
3890 2653253 2338495 314758 314758
3900 2653253 2338495 314758 314758
3910 2653253 2338495 314758 314758
3920 2653253 2338495 314758 314758
3930 2653253 2338495 314758 314758
3940 2653253 2338495 314758 314758
3950 2653253 2338495 314758 314758
3960 2653253 2338495 314758 314758
3970 2653253 2338495 314758 314758
3980 2653253 2338495 314758 314758
3990 2653253 2338495 314758 314758
4000 2653253 2338495 314758 314758
4010 2653253 2338495 314758 314758
4020 2653253 2338495 314758 314758
4030 2653253 2338495 314758 314758
4040 2653253 2338495 314758 314758
4050 2653253 2338495 314758 314758
4060 2653253 2338495 314758 314758
4070 2653253 2338495 314758 314758
4080 2653253 2338495 314758 314758
4090 2653253 2338495 314758 314758
4100 2653253 2338495 314758 314758
4110 2653253 2338495 314758 314758
4120 2653253 2338495 314758 314758
4130 2653253 2338495 314758 314758
4140 2653253 2338495 314758 314758
4150 2653253 2338495 314758 314758
4160 2653253 2338495 314758 314758
4170 2653253 2338495 314758 314758
4180 2653253 2338495 314758 314758
4190 2653253 2338495 314758 314758
4200 2653253 2338495 314758 314758
4210 2653253 2338495 314758 314758
4220 2653253 2338495 314758 314758
4230 2653253 2338495 314758 314758
4240 2653253 2338495 314758 314758
4250 2653253 2338495 314758 314758
4260 2653253 2338495 314758 314758
4270 2653253 2338495 314758 314758
4280 2653253 2338495 314758 314758
4290 2653253 2338495 314758 314758
4300 2653253 2338495 314758 314758
4310 2653253 2338495 314758 314758
4320 2653253 2338495 314758 314758
4330 2653253 2338495 314758 314758
4340 2653253 2338495 314758 314758
4350 2653253 2338495 314758 314758
4360 2653253 2338495 314758 314758
4370 2653253 2338495 314758 314758
4380 2653253 2338495 314758 314758
4390 2653253 2338495 314758 314758
4400 2653253 2338495 314758 314758
4410 2653253 2338495 314758 314758
4420 2653253 2338495 314758 314758
4430 2653253 2338495 314758 314758
4440 2653253 2338495 314758 314758
4450 2653253 2338495 314758 314758
4460 2653253 2338495 314758 314758
4470 2653253 2338495 314758 314758
4480 2653253 2338495 314758 314758
4490 2653253 2338495 314758 314758
4500 2653253 2338495 314758 314758
4510 2653253 2338495 314758 314758
4520 2653253 2338495 314758 314758
4530 2653253 2338495 314758 314758
4540 2653253 2338495 314758 314758
4550 2653253 2338495 314758 314758
4560 2653253 2338495 314758 314758
4570 2653253 2338495 314758 314758
4580 2653253 2338495 314758 314758
4590 2653253 2338495 314758 314758
